team,elo_rating,last_match_unix,last_division
Palmeiras,1623.7,1772065800,A
Flamengo,1604.3,1770769800,A
Fluminense,1565.4,1772065800,A
Botafogo,1553.8,1770935400,A
Mirassol,1533.6,1770847200,A
Bahia,1527.7,1770856200,A
São Paulo,1524.9,1772058600,A
Cruzeiro,1519.6,1772060400,A
Corinthians,1491.6,1772060400,A
Fortaleza,1488.9,1765134000,A
Grêmio,1483.7,1772065800,A
Bragantino,1456.8,1772056800,A
Santos,1456.6,1772143200,A
Vitória,1456.2,1770769800,A
Atlético PR,1441.6,1772056800,A
Atlético Mineiro,1439.8,1772065800,A
Internacional,1439.3,1772056800,A
Ceará,1419.0,1765134000,A
Juventude,1409.5,1765134000,A
Vasco da Gama,1403.2,1772143200,A
Coritiba,1388.6,1772058600,A
Criciúma,1384.7,1763926200,B
Goiás,1382.7,1763926200,B
Chapecoense,1380.1,1770847200,A
Novorizontino,1378.7,1763850600,B
Avaí,1360.4,1763926200,B
Cuiabá,1360.4,1763926200,B
Remo,1359.8,1772056800,A
Atlético GO,1357.0,1763926200,B
CRB,1342.9,1763850600,B
América Mineiro,1336.8,1763926200,B
Operário PR,1328.1,1763926200,B
Vila Nova,1323.7,1763591400,B
Sport Recife,1310.5,1765134000,A
Botafogo SP,1296.3,1763926200,B
Ponte Preta,1293.9,1761422400,C
Athletic Club,1276.4,1763926200,B
Náutico,1272.6,1760212800,C
Amazonas,1272.4,1763926200,B
Guarani,1266.3,1760212800,C
Ferroviária,1262.5,1763926200,B
Londrina,1262.2,1761422400,C
Sampaio Corrêa,1260.7,1724529600,C
Volta Redonda,1256.3,1763591400,B
Ituano,1247.6,1756584000,C
CSA,1247.3,1756584000,C
Brusque,1246.4,1760212800,C
Paysandu,1239.0,1763926200,B
Confiança,1238.4,1756584000,C
Brasil de Pelotas,1235.2,1660420800,C
São Bernardo,1235.1,1760212800,C
Botafogo PB,1223.2,1756584000,C
Caxias,1218.2,1760212800,C
Ypiranga Erechim,1214.0,1756584000,C
Figueirense,1212.4,1756584000,C
Maringá,1211.8,1756584000,C
Floresta,1210.1,1760212800,C
Tombense,1209.8,1756584000,C
ABC,1206.7,1756584000,C
Anápolis,1206.0,1756584000,C
Itabaiana,1197.3,1756584000,C
Manaus,1197.0,1693076400,C
Jacuipense,1197.0,1632600000,C
América RN,1195.8,1693076400,C
Uniclinic,1195.5,1660420800,C
Paraná,1194.0,1632592800,C
Campinense,1192.2,1660420800,C
Santa Cruz,1192.0,1632600000,C
Aparecidense,1188.5,1724529600,C
Oeste,1187.9,1632592800,C
EC São José,1186.8,1724529600,C
Altos,1183.4,1693076400,C
Pouso Alegre,1182.9,1693076400,C
Ferroviário,1178.9,1724529600,C
Retrô,1176.3,1756584000,C
