team,team_id,jogos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo,pontos,posicao,elo,attack,defense,avg_xg_for,avg_xg_against
Flamengo,612,38,23,10,5,78,27,51,79,1,1632.9,1.2024911131117566,0.7178192550792164,1.704736842105263,1.0176315789473684
Palmeiras,619,38,23,7,8,66,33,33,76,2,1641.9,1.1985929480337467,0.8724464698402682,1.6992105263157893,1.236842105263158
Cruzeiro,613,38,19,13,6,55,31,24,70,3,1538.9,1.0365406569336293,0.973613134960044,1.4694736842105265,1.3802631578947369
Mirassol,2721,38,18,13,7,63,39,24,67,4,1544.2,1.0669834699238,1.0582590052253977,1.5126315789473685,1.500263157894737
Fluminense,617,38,19,7,12,50,39,11,64,5,1589.5,0.9613617590005846,0.8399617608568539,1.3628947368421052,1.1907894736842106
Botafogo,615,38,17,12,9,58,38,20,63,6,1575.5,1.0875880567647085,0.9015898944711027,1.541842105263158,1.2781578947368422
Bahia,626,38,17,9,12,50,46,4,60,7,1530.9,1.0820192495104088,0.9706431044244175,1.5339473684210525,1.3760526315789474
São Paulo,618,38,14,9,15,43,47,-4,51,8,1514.3,0.8811709345386708,0.9890201683636061,1.2492105263157895,1.4021052631578947
Grêmio,616,38,13,10,15,47,50,-3,49,9,1477.2,0.9427990681529195,1.1276834689956656,1.336578947368421,1.5986842105263157
Atlético Mineiro,620,38,12,12,14,43,44,-1,48,10,1451.7,1.1395635911381714,0.9353739918138535,1.6155263157894737,1.3260526315789474
Bragantino,635,38,14,6,18,45,57,-12,48,11,1458.0,0.9667449393464076,1.129725364988909,1.3705263157894736,1.601578947368421
Corinthians,624,38,12,11,15,42,47,-5,47,12,1489.2,0.8626082436910054,0.874673992741988,1.2228947368421053,1.24
Santos,611,38,12,11,15,45,50,-5,47,13,1450.1,1.0016427981400182,1.0422950910964055,1.42,1.4776315789473684
Vasco da Gama,625,38,13,6,19,55,60,-5,45,14,1406.8,0.9923614527161857,1.0521333172456682,1.406842105263158,1.4915789473684211
Vitória,610,38,11,12,15,35,52,-17,45,15,1458.0,0.899733625386336,1.1787308688267453,1.2755263157894736,1.6710526315789473
Internacional,630,38,11,11,16,44,57,-13,44,16,1442.9,1.043594479455742,0.9394577838003398,1.4794736842105263,1.331842105263158
Ceará,642,38,11,10,17,34,40,-6,43,17,1411.0,0.886368487976017,0.9357452456308067,1.256578947368421,1.326578947368421
Fortaleza,2601,38,11,10,17,43,58,-15,43,18,1495.5,0.9743556425939502,1.0938993716529148,1.381315789473684,1.5507894736842103
Juventude,1053,38,9,8,21,35,69,-34,35,19,1396.4,0.8451593142942,1.1380785758703584,1.198157894736842,1.613421052631579
Sport Recife,614,38,2,11,25,28,75,-47,17,20,1285.3,0.9283201692917407,1.2288501341154416,1.3160526315789476,1.7421052631578948
