home_name,away_name,odds_ft_1,odds_ft_x,odds_ft_2,game_week
Flamengo,Cruzeiro,1.5,3.95,6.4,5
Coritiba,Remo,1.83,3.46,4.84,6
Fluminense,Atlético PR,1.75,3.74,4.94,6
Vitória,Atlético Mineiro,2.7,3.3,2.65,6
Bragantino,São Paulo,2.61,3.23,2.86,6
Remo,Fluminense,3.55,3.55,2.1,5
Chapecoense,Grêmio,3.02,3.25,2.48,6
Cruzeiro,Vasco da Gama,1.7,3.79,5.3,6
Santos,Corinthians,2.35,3.25,3.24,6
Internacional,Bahia,2.2,3.42,3.4,6
Palmeiras,Mirassol,1.51,4.32,6.69,6
Botafogo,Flamengo,3.5,3.3,2.1,6
São Paulo,Chapecoense,1.39,4.45,7.9,5
Grêmio,Bragantino,1.85,3.25,3.5,5
Atlético Mineiro,Internacional,2.2,3.44,3.32,5
Corinthians,Coritiba,1.55,3.95,5.9,5
Vasco da Gama,Palmeiras,3.15,3.4,2.18,5
Botafogo,Vitória,1.55,3.8,6.0,4
Flamengo,Mirassol,1.4,4.33,8.5,4
Bahia,Vitória,1.7,3.7,4.75,5
Atlético PR,Botafogo,2.5,3.38,2.89,5
Bahia,Chapecoense,1.6,4.1,6.4,4
